原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'000995,14.65,匹配成功,000995,000995,皇台酒业,0.0,14.65,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
'002352,50.65,匹配成功,002352,002352,顺丰控股,0.0,50.65,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
'300120,9.1,匹配成功,300120,300120,经纬辉开,0.0,9.1,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
'300505,18.57,匹配成功,300505,300505,川金诺,0.0,18.57,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
'300930,27.49,匹配成功,300930,300930,屹通新材,0.0,27.49,代码标准化匹配,0.0,0.0,0.0,0.0,0.0,0.0
